Time;U_t;V_t
1.21;-0.1872670893143793;-12.240517880892705
1.215;-0.24703842398879627;-11.643552927523821
1.22;-0.30346517288551395;-10.904183503019418
1.225;-0.3558592334358162;-10.032256909879736
1.23;-0.4035858171636501;-9.039228062180971
1.235;-0.44607112041269886;-7.938009585220066
1.24;-0.4828092023351006;-6.742804417835558
1.245;-0.5133679839491415;-5.46892312869139
1.25;-0.5373943026209052;-4.13258821602831
1.2550000000000001;-0.554617961098484;-2.7507278857803423
1.26;-0.5648547225448722;-1.3407620060681809
1.2650000000000001;-0.5680082224752644;0.0796171071005145
1.27;-0.5640707774525546;1.4926663143481287
1.2750000000000001;-0.5531230852586279;2.8808129988545224
1.28;-0.5353328252403612;4.22687321518799
1.285;-0.5109521806082634;5.51426405230282
1.29;-0.48031432046746936;6.727207534047294
1.295;-0.4438288886213831;7.8509235719011805
1.3;-0.40197654353013085;8.871810282320013
1.305;-0.35530268486175526;9.777606626166207
1.31;-0.3044103378851796;10.55754104753865
1.315;-0.24995239997364596;11.202457733858173
1.32;-0.1926232786663603;11.704924108563175
1.325;-0.13315005491480725;12.059315551603648
1.33;-0.07228327905718196;12.261877350830858
1.335;-0.010787515090274084;12.310763302155955
1.34;0.050568248615959;12.206050015103942
1.345;0.11102019845978202;11.949727532543681
1.35;0.16981919056889022;11.545665890076025
1.355;0.22624001770613644;10.999558575787736
1.36;0.27959033878355416;10.318843433263254
1.365;0.3292191581949958;9.512602226893833
1.37;0.3745247509315763;8.59144007173258
1.375;0.41496194033043043;7.567346623498757
1.3800000000000001;0.4500486393287837;6.4535404766400575
1.385;0.4793715738987837;5.264298959111534
1.3900000000000001;0.5025911242606842;4.014775550936783
1.395;0.5194452305154179;2.7208071915403016
1.4000000000000001;0.5297523096003438;1.3987138870230154
1.405;0.5334131573913439;0.06509322806950424
1.41;0.5304118194404671;-1.2633876283010725
1.415;0.5208154180094082;-2.5701999326534497
1.42;0.5047729415571558;-3.8391586577310153
1.425;0.48251303021330394;-5.054622618777453
1.43;0.4543407658530073;-6.201686925053838
1.435;0.42063353136232506;-7.266365392276609
